X,Y,id_propi,POBLADO,PROVINCIA,ANYO,coord_X,coord_Y,1945,1956,2014
296153.9522,4178588.868,126,La Vereda,Sevilla,1964,-5.31322386,37.73190372,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/126.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/126.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/126.jpeg
459269.8817,4608921.746,127,La Vid,Burgos,1946,-3.48898931,41.63098543,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/127.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/127.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/127.jpeg
192401.9194,4315434.428,128,Lácara,Badajoz,1961,-6.54849939,38.93392561,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/128.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/128.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/128.jpeg
425846.8516,4117007.131,129,Láchar,Granada,1943,-3.83555349,37.19658225,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/129.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/129.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/129.jpeg
532887.9833,4065193.003,130,Las Marinas,Almería,1959,-2.63166269,36.73188143,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/130.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/130.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/130.jpeg
601038.7109,4146592.597,131,Las Norias,Almería,1958,-1.85751841,37.46068691,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/131.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/131.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/131.jpeg
354680.0763,4424633.05,132,Las Vegas,Toledo,1952,-4.7013894,39.95936461,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/132.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/132.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/132.jpeg
359647.3931,4104024.748,133,Llanos de Antequera,Málaga,1967,-4.57885449,37.07199315,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/133.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/133.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/133.jpeg
469639.2796,4329942.332,134,Llanos del Caudillo,Ciudad Real,1953,-3.35120326,39.11811103,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/134.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/134.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/134.jpeg
404488.283,4210093.702,135,Llanos del Caudillo,Jaén,1956,-4.08834561,38.03352554,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/135.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/135.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/135.jpeg
415112.7818,4115919.184,136,Loreto,Granada,1956,-3.9563663,37.18586198,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/136.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/136.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/136.jpeg
