codpresa,Nombre,Nombre SEPREM,Otro nombre,Fecha,Anyo,Rio,Municipio,Cuenca,Provincia,x,y,Tipos
4060095,ORELLANA,ORELLANA,---,01/01/63,1963,GUADIANA,"ORELLANA LA VIEJA, CAMPANARIO",GUADIANA,BADAJOZ,280423,4318386,"Abastecimiento, HidroelŽctrico, Riego"
3190028,PALMACES,PALMACES,---,01/01/54,1954,CA„AMARES,PALMACES DE JADRAQUE,TAJO,GUADALAJARA,505170,4544655,"Riego, ---, ---"
12350039,"PARRALILLO, EL","PARRALILLO, EL",---,01/01/71,1971,BARRANCO ALDEA,TEJEDA Y ARTENARA,LAS PALMAS,LAS PALMAS,755170,3162455,"Riego, ---, ---"
13380027,PASADA DEL CAMELLO,PASADA DEL CAMELLO,---,31/12/54,1954,CHABUGO,GUIA DE ISORA,TENERIFE,TENERIFE,860483,3195027,"Riego, ---, ---"
10170013,PASTERAL I (AZUD),"PASTERAL, EL",---,01/01/62,1962,TER,OSOR,CUENCAS INTERNAS DE CATALU„A,GERONA,965397,4663877,"Abastecimiento, HidroelŽctrico, Riego"
4060004,"PASTIZALES, LOS","PASTIZALES, LOS",---,31/12/64,1964,VALDELARQUILLO (VALDESEQUILLOS),HELECHOSA DE LOS MONTES,GUADIANA,BADAJOZ,352216,4363403,"Abastecimiento, Riego, ---"
5230018,PEDRO MARIN,PEDRO MARIN,---,31/12/54,1954,GUADALQUIVIR,JODAR,GUADALQUIVIR,JAEN,463739,4196379,"HidroelŽctrico, Riego, Industrial"
4130018,PE„ARROYA,PEARROYA,---,01/01/59,1959,GUADIANA,ARGAMASILLA DE ALBA,GUADIANA,CIUDAD REAL,499519,4323754,"Abastecimiento, Riego, ---"
3280055,"PE„ASCALES, LOS","PEASCALES, LOS",---,31/12/62,1962,ARROYO TROFAS,TORRELODONES,TAJO,MADRID,424055,4492013,"Abastecimiento, Riego, ---"
12350056,"PE„ITAS, LAS","PEITAS, LAS",---,01/01/63,1963,PALMAS,PAJARA,LAS PALMAS,LAS PALMAS,591303,3190935,"Riego, ---, ---"
